,name,Website,street address,city,state,zipcode,Type,Size,private,funding,Associates (y=1/n=0)
0,A T Still University of Health Sciences,WWW.ATSU.EDU,800 W Jefferson,Kirksville,Missouri,63501,"4-year, Private not-for-profit",3480.0,Private,not-for-profit,0
1,Abilene Christian University,www.acu.edu,1600 Campus Court,Abilene,Texas,79699,"4-year, Private not-for-profit",4669.0,Private,not-for-profit,0
2,Abraham Baldwin Agricultural College,www.abac.edu,2802 Moore Hwy,Tifton,Georgia,31793-2601,"4-year, primarily associate's, Public",3600.0,Public,not-for-profit,1
3,Academy College,www.academycollege.edu,Suite 100,Minneapolis,Minnesota,55420-1554,"4-year, primarily associate's, Private for-profit",165.0,Private,for profit,1
4,Academy for Five Element Acupuncture,www.acupuncturist.edu,305 SE 2nd Ave,Gainesville,Florida,32601,"4-year, Private not-for-profit",51.0,Private,not-for-profit,0
5,Academy of Art University,www.academyart.edu,79 New Montgomery,San Francisco,California,94105,"4-year, Private for-profit",13181.0,Private,for profit,0
6,Academy of Chinese Culture and Health Sciences,www.acchs.edu,1601 Clay St,Oakland,California,94612,"4-year, Private not-for-profit",92.0,Private,not-for-profit,0
7,Academy of Oriental Medicine,www.aoma.edu,2700 W Anderson Ln Ste 204,Austin,Texas,78757,"4-year, Private for-profit",207.0,Private,for profit,0
8,Academy of Vocal Arts,www.avaopera.org,1920 Spruce St,Philadelphia,Pennsylvania,19103-6685,"4-year, Private not-for-profit",27.0,Private,not-for-profit,0
9,Acupuncture and Integrative Medicine College-Berkeley,www.aimc.edu,2550 Shattuck Ave,Berkeley,California,94704,"4-year, Private not-for-profit",181.0,Private,not-for-profit,0
10,Acupuncture and Massage College,WWW.AMCOLLEGE.edu,10506 N Kendall Drive,Miami,Florida,33176,"4-year, primarily associate's, Private for-profit",131.0,Private,for profit,1
11,Adams State College,www.adams.edu,208 Edgemont Blvd,Alamosa,Colorado,81102,"4-year, Public",2920.0,Public,not-for-profit,0
12,Adelphi University,WWW.ADELPHI.EDU,South Ave,Garden City,York,11530-0701,"4-year, Private not-for-profit",8177.0,Private,not-for-profit,0
13,Adler Graduate School,www.alfredadler.edu,1550 East 78th Street,Richfield,Minnesota,55423,"4-year, Private not-for-profit",274.0,Private,not-for-profit,0
14,Adler School of Professional Psychology,www.adler.edu,Suite 2100,Chicago,Illinois,60601,"4-year, Private not-for-profit",639.0,Private,not-for-profit,0
15,Adrian College,www.adrian.edu,110 S Madison St,Adrian,Michigan,49221-2575,"4-year, Private not-for-profit",1469.0,Private,not-for-profit,0
16,Agnes Scott College,www.agnesscott.edu,141 E. College Ave,Decatur,Georgia,30030-3797,"4-year, Private not-for-profit",832.0,Private,not-for-profit,0
17,AI Miami International University of Art and Design,www.aimiu.aii.edu,1501 Biscayne Boulevard,Miami,Florida,33132-1418,"4-year, Private for-profit",3429.0,Private,for profit,0
18,AIB College of Business,www.aib.edu,2500 Fleur Drive,Des Moines,Iowa,50321-1799,"4-year, primarily associate's, Private not-for-profit",985.0,Private,0,1
19,Air Force Institute of Technology-Graduate School of Engineering & Management,www.afit.edu,2950 Hobson Way-Wright Patterson AFB,Dayton,Ohio,45433-7765,"4-year, Public",773.0,Public,not-for-profit,0
20,Alabama A & M University,www.aamu.edu/,4900 Meridian St,Normal,Alabama,35762,"4-year, Public",5124.0,Public,not-for-profit,0
21,Alabama State University,www.alasu.edu,915 S Jackson Street,Montgomery,Alabama,36101-0271,"4-year, Public",5695.0,Public,not-for-profit,0
22,Alaska Pacific University,www.alaskapacific.edu,4101 University Dr,Anchorage,Alaska,99508,"4-year, Private not-for-profit",803.0,Private,not-for-profit,0
23,Albany College of Pharmacy and Health Sciences,www.acp.edu,106 New Scotland Avenue,Albany,York,12208-3492,"4-year, Private not-for-profit",1525.0,Private,not-for-profit,0
24,Albany Law School,www.albanylaw.edu,80 New Scotland Avenue,Albany,York,12208,"4-year, Private not-for-profit",784.0,Private,not-for-profit,0
25,Albany Medical College,www.amc.edu,47 New Scotland Ave,Albany,York,12208-0000,"4-year, Private not-for-profit",839.0,Private,not-for-profit,0
26,Albany State University,www.asurams.edu/,504 College Dr.,Albany,Georgia,31705,"4-year, Public",4176.0,Public,not-for-profit,0
27,Albertus Magnus College,www.albertus.edu,700 Prospect St,New Haven,Connecticut,06511-1189,"4-year, Private not-for-profit",2129.0,Private,not-for-profit,0
28,Albion College,www.albion.edu,611 E Porter St,Albion,Michigan,49224,"4-year, Private not-for-profit",1860.0,Private,not-for-profit,0
29,Albright College,www.albright.edu,1621 N. 13th St.,Reading,Pennsylvania,19612-5234,"4-year, Private not-for-profit",2305.0,Private,not-for-profit,0
30,Alcorn State University,www.alcorn.edu,1000 ASU Dr Ste 359,Alcorn State,Mississippi,39096-7500,"4-year, Public",3252.0,Public,not-for-profit,0
31,Alderson Broaddus College,www.ab.edu/,101 College Hill Drive,Philippi,Virginia,26416-2035,"4-year, Private not-for-profit",738.0,Private,not-for-profit,0
32,Alfred University,www.alfred.edu,One Saxon Drive,Alfred,York,14802-1205,"4-year, Private not-for-profit",2427.0,Private,not-for-profit,0
33,Alice Lloyd College,www.alc.edu,100 Purpose Rd,Pippa Passes,Kentucky,41844,"4-year, Private not-for-profit",609.0,Private,not-for-profit,0
34,Allegheny College,www.allegheny.edu,520 N Main St,Meadville,Pennsylvania,16335-3902,"4-year, Private not-for-profit",2125.0,Private,not-for-profit,0
35,Allegheny Wesleyan College,awc.edu,2161 Woodsdale Rd,Salem,Ohio,44460-9598,"4-year, Private not-for-profit",55.0,Private,not-for-profit,0
36,Allen College,www.allencollege.edu,1990 Heath St,Waterloo,Iowa,50703-1999,"4-year, Private not-for-profit",417.0,Private,not-for-profit,0
37,Allen University,www.allenuniversity.edu,1530 Harden Street,Columbia,Carolina,29204,"4-year, Private not-for-profit",725.0,Private,not-for-profit,0
38,Alliant International University,www.alliant.edu,Suite 100,San Francisco,California,94133-1221,"4-year, Private not-for-profit",,Private,not-for-profit,0
39,Alliant International University,www.alliant.edu,2500 Michelson Dr-Ste 250,Irvine,California,92612-1221,"4-year, Private not-for-profit",,Private,not-for-profit,0
40,Alliant International University,www.alliant.edu,Suite 200,Sacramento,California,95833,"4-year, Private not-for-profit",,Private,not-for-profit,0
41,Alliant International University,www.alliant.edu,10455 Pomerado Road,San Diego,California,92131-1799,"4-year, Private not-for-profit",4149.0,Private,not-for-profit,0
42,Alliant International University,www.alliant.edu,5130 E Clinton Way,Fresno,California,93727-1360,"4-year, Private not-for-profit",,Private,not-for-profit,0
43,Alliant International University,www.alliant.edu,Unit 5,Alhambra,California,91803-1360,"4-year, Private not-for-profit",,Private,not-for-profit,0
44,Alma College,www.alma.edu,614 W Superior,Alma,Michigan,48801-1599,"4-year, Private not-for-profit",1382.0,Private,not-for-profit,0
45,Alvernia College,www.alvernia.edu,400 Saint Bernardine St,Reading,Pennsylvania,19607-1799,"4-year, Private not-for-profit",2809.0,Private,not-for-profit,0
46,Alverno College,www.alverno.edu,3400 S 43rd  St,Milwaukee,Wisconsin,53234-3922,"4-year, Private not-for-profit",2782.0,Private,not-for-profit,0
47,Amberton University,www.amberton.edu,1700 Eastgate Dr,Garland,Texas,75041-5595,"4-year, Private not-for-profit",1562.0,Private,not-for-profit,0
48,American Academy of Acupuncture and Oriental Medicine,www.aaaom.edu,1925 W County Rd B-2,Roseville,Minnesota,55113,"4-year, Private for-profit",111.0,Private,for profit,0
49,American Academy of Art,www.aaart.edu,332 S Michigan Ave,Chicago,Illinois,60604-4302,"4-year, Private for-profit",391.0,Private,for profit,0
50,American Baptist College,www.abcnash.edu,1800 Baptist World Ctr Dr,Nashville,Tennessee,37207,"4-year, Private not-for-profit",106.0,Private,not-for-profit,0
51,American Baptist Seminary of the West,www.absw.edu,2606 Dwight Way,Berkeley,California,94704-3029,"4-year, Private not-for-profit",65.0,Private,not-for-profit,0
52,American College,www.theamericancollege.edu,270 Bryn Mawr Ave,Bryn Mawr,Pennsylvania,19010-2196,"4-year, Private not-for-profit",386.0,Private,not-for-profit,0
53,American College of Acupuncture and Oriental Med,www.acaom.edu,9100 Park  West Drive,Houston,Texas,70063-4104,"4-year, Private for-profit",127.0,Private,for profit,0
54,American College of Traditional Chinese Medicine,www.actcm.edu,455 Arkansas St,San Francisco,California,94107,"4-year, Private not-for-profit",322.0,Private,not-for-profit,0
55,American Conservatory Theater,www.act-sf.org,30 Grant Ave,San Francisco,California,94108-5834,"4-year, Private not-for-profit",44.0,Private,not-for-profit,0
56,American Film Institute Conservatory,www.AFI.com,2021 N Western Ave,Los Angeles,California,90027-1625,"4-year, Private not-for-profit",357.0,Private,not-for-profit,0
57,American Indian College of the Assemblies of God Inc,www.aicag.edu,10020 N 15th Ave,Phoenix,Arizona,85021,"4-year, Private not-for-profit",99.0,Private,not-for-profit,0
58,American Intercontinental University,www.aiufl.edu,2250 North Commerce Pkwy,Weston,Florida,33326,"4-year, Private for-profit",887.0,Private,for profit,0
59,American Intercontinental University,www.houston.aiuniv.edu,9999 Richmond Avenue,Houston,Texas,77042,"4-year, Private for-profit",474.0,Private,for profit,0
60,American Intercontinental University,la.aiuniv.edu/,12655 West Jefferson Blvd,Los Angeles,California,90066,"4-year, Private for-profit",229.0,Private,for profit,0
61,American InterContinental University,www.aiuniv.edu,NE,Atlanta,Georgia,30326-1001,"4-year, Private for-profit",967.0,Private,for profit,0
62,American Intercontinental University Online,www.aiuonline.edu,5550 Prairie Stone Pky-Ste 400,Hoffman Estates,Illinois,60192,"4-year, Private for-profit",22798.0,Private,for profit,0
63,American Intercontinental University-Dunwoody Campus,www.aiudunwoody.com,500 Embassy Row,Atlanta,Georgia,30328,"4-year, Private for-profit",980.0,Private,for profit,0
64,American International College,www.aic.edu,1000 State Street,Springfield,Massachusetts,01109,"4-year, Private not-for-profit",3112.0,Private,not-for-profit,0
65,American Jewish University,www.ajula.edu,15600 Mulholland Dr,Los Angeles,California,90077-1519,"4-year, Private not-for-profit",209.0,Private,not-for-profit,0
66,American Musical and Dramatic Academy,www.amda.edu,2109 Broadway,New York,York,10023,"4-year, primarily associate's, Private not-for-profit",896.0,Private,0,1
67,American Public University System,www.apus.edu,111 W Congress St,Charles Town,Virginia,25414,"4-year, Private for-profit",21729.0,Private,for profit,0
68,American Samoa Community College,www.amsamoa.edu,,Pago Pago,Samoa,96799-2609,"4-year, primarily associate's, Public",1806.0,Public,not-for-profit,1
69,American University,WWW.AMERICAN.EDU,4400 Massachusetts Ave NW,Washington,Columbia,20016-8001,"4-year, Private not-for-profit",11684.0,Private,not-for-profit,0
70,American University of Health Sciences,auhs.edu,3501 Atlantic Ave.,Long Beach,California,90807,"4-year, primarily associate's, Private for-profit",33.0,Private,for profit,1
71,American University of Puerto Rico,www.aupr.edu,Carretera Estatal #2 Km.48.1,Manati,Rico,00674-1082,"4-year, Private not-for-profit",1528.0,Private,not-for-profit,0
72,American University of Puerto Rico,www.aupr.edu,Bo. Hato Tejas,Bayamon,Rico,00960-2037,"4-year, Private not-for-profit",1747.0,Private,not-for-profit,0
73,Amherst College,www.amherst.edu,Boltwood Avenue,Amherst,Massachusetts,01002-5000,"4-year, Private not-for-profit",1697.0,Private,not-for-profit,0
74,Amridge University,www.amridgeuniversity.edu,1200 Taylor Rd,Montgomery,Alabama,36117-3553,"4-year, Private not-for-profit",705.0,Private,not-for-profit,0
75,Anderson University,www.andersonuniversity.edu,316 Boulevard,Anderson,Carolina,29621,"4-year, Private not-for-profit",2064.0,Private,not-for-profit,0
76,Anderson University,www.anderson.edu,1100 E 5th St,Anderson,Indiana,46012-3495,"4-year, Private not-for-profit",2737.0,Private,not-for-profit,0
77,Andover Newton Theological School,www.ants.edu,210 Herrick Rd,Newton Centre,Massachusetts,02459-2243,"4-year, Private not-for-profit",320.0,Private,not-for-profit,0
78,Andrews University,www.andrews.edu,,Berrien Springs,Michigan,49104,"4-year, Private not-for-profit",3419.0,Private,not-for-profit,0
79,Angelo State University,www.angelo.edu,2601 W Avenue N,San Angelo,Texas,76909,"4-year, Public",6155.0,Public,not-for-profit,0
80,Angley College,www.angley.edu,1700 S. Woodland Blvd.,Deland,Florida,32720,"4-year, primarily associate's, Private for-profit",206.0,Private,for profit,1
81,Anna Maria College,www.annamaria.edu,50 Sunset Lane,Paxton,Massachusetts,01612-1198,"4-year, Private not-for-profit",1333.0,Private,not-for-profit,0
82,Anthem College-Phoenix,www.anthem.edu,1515 E Indian School Road,Phoenix,Arizona,85014,"4-year, primarily associate's, Private for-profit",2280.0,Private,for profit,1
83,Antioch University McGregor,www.mcgregor.edu,900 Dayton St,Yellow Springs,Ohio,45387,"4-year, Private not-for-profit",630.0,Private,not-for-profit,0
84,Antioch University New England,www.antiochne.edu,40 Avon St,Keene,Hampshire,03431,"4-year, Private not-for-profit",842.0,Private,not-for-profit,0
85,Antioch University PhD Program in Leadership and Change,www.phd.antioch.edu,150 E South College St,Yellow Springs,Ohio,45387,"4-year, Private not-for-profit",133.0,Private,not-for-profit,0
86,Antioch University Seattle,www.antiochseattle.edu,2326 6th Ave,Seattle,Washington,98121,"4-year, Private not-for-profit",854.0,Private,not-for-profit,0
87,Antioch University-Los Angeles Branch,www.antiochla.edu,400 Corporate Pointe,Culver City,California,90230-7615,"4-year, Private not-for-profit",697.0,Private,not-for-profit,0
88,Antioch University-Santa Barbara,www.antiochsb.edu,Suite 101,Santa Barbara,California,93101-1581,"4-year, Private not-for-profit",369.0,Private,not-for-profit,0
89,Apex School of Theology,www.apexsot.edu,2945 South Miami Blvd Ste 114,Durham,Carolina,27703,"4-year, primarily associate's, Private not-for-profit",171.0,Private,0,1
90,Apostolic Bible Institute Inc,www.apostolic.org,6944 Hudson Blvd N,Saint Paul,Minnesota,55128-7021,"4-year, Private not-for-profit",64.0,Private,not-for-profit,0
91,Appalachian Bible College,www.abc.edu,161 College Drive,Mount Hope,Virginia,25880,"4-year, Private not-for-profit",286.0,Private,not-for-profit,0
92,Appalachian College of Pharmacy,www.uacp.org,1060 Dragon Road,Oakwood,Virginia,24631,"4-year, Private not-for-profit",191.0,Private,not-for-profit,0
93,Appalachian School of Law,www.asl.edu,1169 Edgewater Drive,Grundy,Virginia,24614-2825,"4-year, Private not-for-profit",350.0,Private,not-for-profit,0
94,Appalachian State University,www.appstate.edu/,,Boone,Carolina,28608,"4-year, Public",16610.0,Public,not-for-profit,0
95,Aquinas College,www.aquinas.edu,1607 Robinson Rd SE,Grand Rapids,Michigan,49506-1799,"4-year, Private not-for-profit",2159.0,Private,not-for-profit,0
96,Aquinas College,www.aquinascollege.edu,4210 Harding Pike,Nashville,Tennessee,37205,"4-year, primarily associate's, Private not-for-profit",847.0,Private,0,1
97,Aquinas Institute of Theology,www.ai.edu,23 S. Spring Ave.,Saint Louis,Missouri,63108,"4-year, Private not-for-profit",267.0,Private,not-for-profit,0
98,Arcadia University,www.arcadia.edu,450 S Easton Rd,Glenside,Pennsylvania,19038-3295,"4-year, Private not-for-profit",3868.0,Private,not-for-profit,0
99,Argosy University-Atlanta,www.argosy.edu/atlanta,Suite 100,Atlanta,Georgia,30328,"4-year, Private for-profit",2481.0,Private,for profit,0
100,Argosy University-Chicago,www.argosy.edu/chicago,Ste 1300,Chicago,Illinois,60601,"4-year, Private for-profit",4347.0,Private,for profit,0
101,Argosy University-Dallas,www.argosy.edu/dallas/,Suite 400A,Dallas,Texas,75231,"4-year, Private for-profit",470.0,Private,for profit,0
102,Argosy University-Denver,www.argosy.edu/denver/,1200 Lincoln St.,Denver,Colorado,80203,"4-year, primarily associate's, Private for-profit",260.0,Private,for profit,1
103,Argosy University-Hawaii,www.argosy.edu/hawaii/,1001 Bishop Street,Honolulu,Hawaii,96813,"4-year, Private for-profit",457.0,Private,for profit,0
104,Argosy University-Inland Empire,www.argosy.edu/inlandempire,Suite 120,San Bernardino,California,92408,"4-year, Private for-profit",434.0,Private,for profit,0
105,Argosy University-Los Angeles,www.argosy.edu/losangeles,2950 31st Street,Santa Monica,California,90405,"4-year, primarily associate's, Private for-profit",307.0,Private,for profit,1
106,Argosy University-Nashville,www.argosy.edu/nashville/,Suite 225,Nashville,Tennessee,37214,"4-year, Private for-profit",442.0,Private,for profit,0
107,Argosy University-Orange County,www.argosy.edu/orangecounty,Suite 110,Santa Ana,California,92704,"4-year, Private for-profit",881.0,Private,for profit,0
108,Argosy University-Phoenix,www.argosy.edu/phoenix/,2233 West Dunlap Avenue,Phoenix,Arizona,85021,"4-year, Private for-profit",773.0,Private,for profit,0
109,Argosy University-Salt Lake City,www.argosy.edu/locations/salt-lake-city,121 Election Rd Ste 300,Draper,Utah,84020,"4-year, Private for-profit",64.0,Private,for profit,0
110,Argosy University-San Diego,www.argosy.edu/sandiego,Suite 100,San Diego,California,92108,"4-year, primarily associate's, Private for-profit",175.0,Private,for profit,1
111,Argosy University-San Francisco Bay Area,www.argosy.edu/sanfrancisco,1005 Atlantic Avenue,Alameda,California,94501,"4-year, Private for-profit",768.0,Private,for profit,0
112,Argosy University-Sarasota,www.argosy.edu/sarasota/,5250 17th Street,Sarasota,Florida,34235,"4-year, Private for-profit",1783.0,Private,for profit,0
113,Argosy University-Schaumburg,www.argosy.edu/schaumburg,Suite 111,Schaumburg,Illinois,60173-5403,"4-year, Private for-profit",730.0,Private,for profit,0
114,Argosy University-Seattle,www.argosy.edu/seattle,2601-A Elliott Avenue,Seattle,Washington,98121,"4-year, Private for-profit",448.0,Private,for profit,0
115,Argosy University-Tampa,www.argosy.edu/tampa,Suite 150,Tampa,Florida,33614,"4-year, Private for-profit",771.0,Private,for profit,0
116,Argosy University-Twin Cities,www.argosy.edu/twincities/,1515 Central Parkway,Eagan,Minnesota,55121,"4-year, primarily associate's, Private for-profit",2046.0,Private,for profit,1
117,Argosy University-Washington D.C.,www.argosy.edu/washingtondc,Suite 600,Arlington,Virginia,22209,"4-year, Private for-profit",1137.0,Private,for profit,0
118,Arizona School of Acupuncture and Oriental Medicine,www.asaom.edu,4646 E Fort Lowell Rd Ste 104,Tucson,Arizona,85712,"4-year, Private for-profit",50.0,Private,for profit,0
119,Arizona State University,www.asu.edu,,Tempe,Arizona,85287,"4-year, Public",67082.0,Public,not-for-profit,0
120,Arkansas Baptist College,www.arkansasbaptist.edu,1621 Dr. Marting Luther King Drive,Little Rock,Arkansas,72202-6099,"4-year, primarily associate's, Private not-for-profit",626.0,Private,0,1
121,Arkansas State University-Main Campus,www.astate.edu,2105 E. Aggie Road,State University,Arkansas,72467,"4-year, Public",11490.0,Public,not-for-profit,0
122,Arkansas Tech University,www.atu.edu,Administration Bldg 200; 1509 N Boulder Ave,Russellville,Arkansas,72801-2222,"4-year, Public",7492.0,Public,not-for-profit,0
123,Arlington Baptist College,www.abconline.edu,3001 W Division,Arlington,Texas,76012-3425,"4-year, Private not-for-profit",140.0,Private,not-for-profit,0
124,Armstrong Atlantic State University,www.armstrong.edu,11935 Abercorn St,Savannah,Georgia,31419-1997,"4-year, Public",7067.0,Public,not-for-profit,0
125,Art Academy of Cincinnati,www.artacademy.edu,1212 Jackson Street,Cincinnati,Ohio,45202-1706,"4-year, Private not-for-profit",167.0,Private,not-for-profit,0
126,Art Center College of Design,www.artcenter.edu,1700 Lida St,Pasadena,California,91103,"4-year, Private not-for-profit",1632.0,Private,not-for-profit,0
127,Asbury College,www.asbury.edu,1 Macklem Dr,Wilmore,Kentucky,40390-1198,"4-year, Private not-for-profit",1550.0,Private,not-for-profit,0
128,Asbury Theological Seminary,www.asburyseminary.edu,204 N Lexington Ave,Wilmore,Kentucky,40390-1199,"4-year, Private not-for-profit",1602.0,Private,not-for-profit,0
129,Ashford University,www.ashford.edu,400 N Bluff Blvd,Clinton,Iowa,52733-2967,"4-year, Private for-profit",25605.0,Private,for profit,0
130,Ashland University,www.ashland.edu,401 College Ave,Ashland,Ohio,44805,"4-year, Private not-for-profit",6200.0,Private,not-for-profit,0
131,Assemblies of God Theological Seminary,www.agts.edu,1435 N Glenstone Ave,Springfield,Missouri,65802-2131,"4-year, Private not-for-profit",470.0,Private,not-for-profit,0
132,Associated Mennonite Biblical Seminary,www.ambs.edu,3003 Benham Ave,Elkhart,Indiana,46517-1999,"4-year, Private not-for-profit",146.0,Private,not-for-profit,0
133,Assumption College,www.assumption.edu,500 Salisbury St,Worcester,Massachusetts,01609-1296,"4-year, Private not-for-profit",2876.0,Private,not-for-profit,0
134,Atenas College,,Paseo de La Atenas  #101,Manati,Rico,00674,"4-year, primarily associate's, Private not-for-profit",1522.0,Private,0,1
135,Athenaeum of Ohio,www.athenaeum.edu,6616 Beechmont Ave,Cincinnati,Ohio,45230-2091,"4-year, Private not-for-profit",253.0,Private,not-for-profit,0
136,Athens State University,www.athens.edu,300 N Beaty St,Athens,Alabama,35611,"4-year, Public",3330.0,Public,not-for-profit,0
137,Atlanta Christian College,www.acc.edu,2605 Ben Hill Rd,East Point,Georgia,30344,"4-year, Private not-for-profit",456.0,Private,not-for-profit,0
138,Atlantic College,www.atlanticcollege-pr.com,Colton St. # 9,Guaynabo,Rico,00970,"4-year, Private not-for-profit",1186.0,Private,not-for-profit,0
139,Atlantic Institute of Oriental Medicine,www.atom.edu,Suite 100,Fort Lauderdale,Florida,33301-3510,"4-year, Private not-for-profit",101.0,Private,not-for-profit,0
140,Atlantic Union College,www.auc.edu,338 Main St,South Lancaster,Massachusetts,01561-1000,"4-year, Private not-for-profit",691.0,Private,not-for-profit,0
141,Auburn University Main Campus,www.auburn.edu,Alabama,Auburn University,Alabama,36849,"4-year, Public",24530.0,Public,not-for-profit,0
142,Auburn University-Montgomery,www.aum.edu,7440 East Drive,Montgomery,Alabama,36117-3596,"4-year, Public",5296.0,Public,not-for-profit,0
143,Augsburg College,www.augsburg.edu,2211 Riverside Ave,Minneapolis,Minnesota,55454,"4-year, Private not-for-profit",3898.0,Private,not-for-profit,0
144,Augusta Area Dietetic Internship-University Hospital,www.universityhealth.org,1350 Walton Way,Augusta,Georgia,30901-2629,"4-year, Private not-for-profit",12.0,Private,not-for-profit,0
145,Augusta State University,www.aug.edu,2500 Walton Way,Augusta,Georgia,30904-2200,"4-year, Public",6689.0,Public,not-for-profit,0
146,Augustana College,www.augie.edu,2001 S Summit Ave,Sioux Falls,Dakota,57197-0001,"4-year, Private not-for-profit",1754.0,Private,not-for-profit,0
147,Augustana College,www.augustana.edu,639 38th St,Rock Island,Illinois,61201-2296,"4-year, Private not-for-profit",2547.0,Private,not-for-profit,0
148,Aurora University,www.aurora.edu,347 S Gladstone Ave,Aurora,Illinois,60506-4892,"4-year, Private not-for-profit",4291.0,Private,not-for-profit,0
149,Austin College,www.austincollege.edu,900 N Grand Ave,Sherman,Texas,75090-4400,"4-year, Private not-for-profit",1298.0,Private,not-for-profit,0
150,Austin Graduate School of Theology,www.austingrad.edu,7640 Guadalupe St,Austin,Texas,78752,"4-year, Private not-for-profit",59.0,Private,not-for-profit,0
151,Austin Peay State University,www.apsu.edu,601 College St,Clarksville,Tennessee,37044,"4-year, Public",9401.0,Public,not-for-profit,0
152,Austin Presbyterian Theological Seminary,www.austinseminary.edu,100 E 27th St,Austin,Texas,78705-5797,"4-year, Private not-for-profit",168.0,Private,not-for-profit,0
153,Ave Maria School of Law,www.avemarialaw.edu,3475 Plymouth Rd,Ann Arbor,Michigan,48105-2550,"4-year, Private not-for-profit",302.0,Private,not-for-profit,0
154,Ave Maria University,www.avemaria.edu,5050 Ave Maria Blvd,Ave Maria,Florida,34142,"4-year, Private not-for-profit",672.0,Private,not-for-profit,0
155,Averett University,www.averett.edu,420 W Main St,Danville,Virginia,24541,"4-year, Private not-for-profit",842.0,Private,not-for-profit,0
156,Averett University-Non-traditional programs,www.averett.edu/working-professionals/index.html,420 W Main St,Danville,Virginia,24541,"4-year, Private not-for-profit",1664.0,Private,not-for-profit,0
157,Avila University,www.Avila.edu,11901 Wornall Rd,Kansas City,Missouri,64145-1698,"4-year, Private not-for-profit",1939.0,Private,not-for-profit,0
158,Azusa Pacific University,www.apu.edu,901 E Alosta,Azusa,California,91702-7000,"4-year, Private not-for-profit",8548.0,Private,not-for-profit,0
159,Babson College,www.babson.edu,Babson Park,Wellesley,Massachusetts,02457-0310,"4-year, Private not-for-profit",3439.0,Private,not-for-profit,0
160,Bacone College,www.bacone.edu,2299 Old Bacone Rd,Muskogee,Oklahoma,74403-1597,"4-year, primarily associate's, Private not-for-profit",958.0,Private,0,1
161,Bais Binyomin Academy,,132 Prospect St,Stamford,Connecticut,06901,"4-year, Private not-for-profit",63.0,Private,not-for-profit,0
162,Bais Medrash Elyon,,73 Main St,Monsey,York,10952,"4-year, Private not-for-profit",26.0,Private,not-for-profit,0
163,Bais Medrash Toras Chesed,,901 Monmouth Ave,Lakewood,Jersey,08701,"4-year, Private not-for-profit",93.0,Private,not-for-profit,0
164,Baker College Center for Graduate Studies,www.baker.edu,1116 W Bristol Rd,Flint,Michigan,48507,"4-year, Private not-for-profit",6008.0,Private,not-for-profit,0
165,Baker College Corporate Services,www.corporate.baker.edu,1195 Centre Rd.,Auburn Hills,Michigan,48326,"4-year, primarily associate's, Private not-for-profit",440.0,Private,0,1
166,Baker College of Allen Park,www.baker.edu,4500 Enterprise Dr,Allen Park,Michigan,48101,"4-year, primarily associate's, Private not-for-profit",2551.0,Private,0,1
167,Baker College of Auburn Hills,www.baker.edu,1500 University Dr,Auburn Hills,Michigan,48326-2642,"4-year, primarily associate's, Private not-for-profit",3824.0,Private,0,1
168,Baker College of Cadillac,www.baker.edu,9600 E 13th St,Cadillac,Michigan,49601-9600,"4-year, primarily associate's, Private not-for-profit",1952.0,Private,0,1
169,Baker College of Clinton Township,www.baker.edu,34950 Little Mack Ave,Clinton Township,Michigan,48035,"4-year, primarily associate's, Private not-for-profit",5637.0,Private,0,1
170,Baker College of Flint,www.baker.edu,1050 West Bristol Road,Flint,Michigan,48507-9987,"4-year, primarily associate's, Private not-for-profit",5820.0,Private,0,1
171,Baker College of Jackson,www.baker.edu,2800 Springport Rd,Jackson,Michigan,49202-1290,"4-year, primarily associate's, Private not-for-profit",1830.0,Private,0,1
172,Baker College of Muskegon,www.Baker.edu,1903 Marquette Ave,Muskegon,Michigan,49442,"4-year, primarily associate's, Private not-for-profit",5232.0,Private,0,1
173,Baker College of Owosso,www.baker.edu,1020 S Washington St,Owosso,Michigan,48867,"4-year, primarily associate's, Private not-for-profit",2926.0,Private,0,1
174,Baker College of Port Huron,www.baker.edu/,3403 Lapeer Road,Port Huron,Michigan,48060,"4-year, primarily associate's, Private not-for-profit",1716.0,Private,0,1
175,Baker University,www.bakeru.edu,618 Eighth Street,Baldwin City,Kansas,66006-0065,"4-year, Private not-for-profit",4112.0,Private,not-for-profit,0
176,Baker University School of Nursing,www.bakeru.edu,1500 SW 10th Street,Topeka,Kansas,66604-1353,"4-year, Private not-for-profit",,Private,not-for-profit,0
177,Baker University School of Professional and Graduate Studies and Graduate School of Education,www.bakeru.edu,Suite 100,Overland Park,Kansas,66210-1353,"4-year, Private not-for-profit",,Private,not-for-profit,0
178,Baldwin-Wallace College,www.bw.edu,275 Eastland Rd,Berea,Ohio,44017-2088,"4-year, Private not-for-profit",4374.0,Private,not-for-profit,0
179,Ball State University,www.bsu.edu,2000 University Ave,Muncie,Indiana,47306,"4-year, Public",20243.0,Public,not-for-profit,0
180,Baltimore Hebrew University Inc,www.bhu.edu,5800 Park Heights Avenue,Baltimore,Maryland,21215-3932,"4-year, Private not-for-profit",104.0,Private,not-for-profit,0
181,Baltimore International College,www.bic.edu,Commerce Exchange,Baltimore,Maryland,21202-3230,"4-year, primarily associate's, Private not-for-profit",499.0,Private,0,1
182,Bangor Theological Seminary,www.BTS.edu,Two College Circle,Bangor,Maine,04402-0411,"4-year, Private not-for-profit",132.0,Private,not-for-profit,0
